solID,channels,date_min,date_max,periods,constr_low,constr_up,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initRoiUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmRoiUnit,optmResponseUnitLift,optmResponseUnitTotalLift
2_185_7,Email_Marketing_S,2020-01-01,2020-12-28,336 days,0.7,1.2,5583500,168337000,501258.857498223,16617.5595238095,0.0331516526346239,1.26148770617387,15.2224623399795,7.59129344093166e-05,168337000,501258.857498223,0,19941.0714285714,0.2,501258.857498227,8.21565038222616e-15,0.0397819831615483,1.74445630671754,16.8971529073205,8.74805705885038e-05,0.382856367271728,0.110014433272247
2_185_7,Facebook_S,2020-01-01,2020-12-28,336 days,0.7,1.2,20190500,168337000,501258.857498223,60090.7738095238,0.119879724638555,2.26221518327066,15.2224623399795,3.76466309194395e-05,168337000,501258.857498223,0,72108.9285714286,0.2,501258.857498227,8.21565038222616e-15,0.143855669566265,3.43282528334397,16.8971529073205,4.7606105808985e-05,0.517461870440134,0.110014433272247
2_185_7,GoogleDisplay_S,2020-01-01,2020-12-28,336 days,0.7,1.2,9857000,168337000,501258.857498223,29336.3095238095,0.0585252690999351,0.517065157861408,15.2224623399795,1.76254329959859e-05,168337000,501258.857498223,0,35203.5714285714,0.2,501258.857498227,8.21565038222616e-15,0.0702303229199215,0.800708596537941,16.8971529073205,2.27450955697092e-05,0.548564207748375,0.110014433272247
2_185_7,GoogleSearch_S,2020-01-01,2020-12-28,336 days,0.7,1.2,66140000,168337000,501258.857498223,196845.238095238,0.392701765067435,4.4801008282253,15.2224623399795,2.27595082897445e-05,168337000,501258.857498223,0,214896.062688651,0.0917005906166704,501258.857498227,8.21565038222616e-15,0.428712748860324,5.03403520883506,16.8971529073205,2.34254417966166e-05,0.123643284347508,0.110014433272247
2_185_7,Instagram_S,2020-01-01,2020-12-28,336 days,0.7,1.2,28802000,168337000,501258.857498223,85976.1194029851,0.171520399324395,2.37621150853886,15.2224623399795,2.76380409471745e-05,168337000,501258.857498223,0,80433.977702719,-0.0644614078740764,501258.857498227,8.21565038222616e-15,0.160463952904819,2.21023771390749,16.8971529073205,2.74789060175098e-05,-0.0698480728819604,0.110014433272247
2_185_7,Youtube_S,2020-01-01,2020-12-28,336 days,0.7,1.2,37764000,168337000,501258.857498223,112392.857142857,0.224221189235056,4.32538195590945,15.2224623399795,3.84844915047552e-05,168337000,501258.857498223,0,78675.2456782864,-0.299997814111211,501258.857498227,8.21565038222616e-15,0.156955322587122,3.67488979797853,16.8971529073205,4.67096068947232e-05,-0.150389529655804,0.110014433272247
